Title,Album Name,Artist Name,Duration,Track Number,Release Date,Popularity,Track ID,Available Markets,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Artist Followers,Artist_genre,Artist_popularity,Included in Top 10,Recommendation Song Id,Recommendation Song,Recommnedation artist
Baby's on Fire,Ten$ion,Die Antwoord,236840,9,2012-01-31,0,7rmUSOrOLRBzI8Uq63qYcR,0,0.829,0.844,-4.329,0,0.0966,0.0521,0.00148,0.171,0.762,130.04,1673840,african rock,57,False,1ZsURRKj1wHUeQq6kZze8S,Kill It 4 The Kids (feat. AWOLNATION & R.City),Kill The Noise
Long Before Rock 'n' Roll,Ode To Ochrasy,Mando Diao,169786,3,2006-08-25,42,58IZLB5bpAKQgeccRgq0ZI,178,0.387,0.966,-2.757,0,0.0674,0.00201,1.12e-05,0.146,0.482,106.71,311278,dalarna indie,53,False,5vqDGqlcp1sMq45G7cpIfq,California Queen,Wolfmother
Knights of Cydonia,Black Holes and Revelations,Muse,366213,11,2006-06-19,69,7ouMYWpwJ422jRcDASZB7P,184,0.366,0.963,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,7689359,alternative rock,74,True,6LUfuyLgvgqrykiTE6sJHY,Stylo (feat. Mos Def and Bobby Womack),Gorillaz
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black (Deluxe Edition),Amy Winehouse,233733,1,2006,76,6nLvaCZFR1wEzW3sIKpsnr,184,0.772,0.371,-5.743,0,0.0348,0.744,0.0,0.167,0.684,96.574,8582265,british soul,73,True,2DnJjbjNTV9Nd5NOa1KGba,You're So Vain,Carly Simon
It Don't Matter,Donavon Frankenreiter,Donavon Frankenreiter,186000,1,2004-01-01,63,2UjGyCvayHjGihV3oLhD8a,184,0.937,0.528,-6.305,1,0.0353,0.0952,1.1e-06,0.237,0.766,104.96,383674,,55,True,3CAX47TnPqTujLIQTw8nwI,Old Pine,Ben Howard
Ulysses,Use Your Voice,Mason Jennings,203333,10,2004-02-10,42,2l8qs1c678EadgudW25dv7,176,0.779,0.385,-9.368,1,0.05,0.831,0.0519,0.0575,0.523,78.304,67252,stomp and holler,39,True,7xmyFgWC6Ut7eFbcxV9aXZ,Georgia Make,Guantanamo Bay Surf Club
At Home - acoustic,Star of Love (+ acoustic version),Crystal Fighters,308413,12,2011-01-24,0,453dRwNyWWCjtKhh57Br6v,0,0.679,0.611,-7.092,1,0.0407,0.281,0.00019,0.538,0.515,106.705,354898,,48,False,6eGYLKANp8xhgozXHBQq9i,Hits Me Like a Rock,CSS
Cape Canaveral,Conor Oberst,Conor Oberst,244173,1,2008-01-01,25,5RlSc9SkmmV1Ma4Hd7TQYZ,78,0.631,0.566,-10.194,1,0.0473,0.792,2.34e-05,0.108,0.631,126.166,156581,chamber pop,46,False,6CbFgDtwqPPGyHMS5ItdV5,Tickle Me Pink,Johnny Flynn
Such Great Heights,Around The Well,Iron & Wine,251280,11,2009-05-19,0,7vcuTZAFyu0Z5dgMRLR0h0,0,0.61,0.275,-10.644,1,0.028,0.808,0.913,0.403,0.552,94.088,1071538,acoustic pop,61,True,3CAX47TnPqTujLIQTw8nwI,Old Pine,Ben Howard
Devil Or Angel,Places,Lou Doillon,244280,2,2012-01-01,39,2B0vzJSvp2Y0Bx8HUN4jyT,14,0.61,0.645,-8.321,0,0.028,0.000226,6.77e-05,0.11,0.284,95.891,84023,french indie pop,44,True,0OLLN9RztJcqymCeeB7URB,Come Back to Me,Hollysiz
Into the Mystic - 2013 Remaster,Moondance,Van Morrison,205613,5,1970-02,75,3lh3iiiJeiBXHSZw6u0kh6,171,0.608,0.524,-10.266,1,0.0309,0.367,0.00254,0.115,0.797,86.204,2970977,classic rock,71,True,1N4MKISvC1ddfRCRQDXDd2,Madame George - 1999 Remaster,Van Morrison
Sheets,Caught In The Trees,Damien Jurado,256173,10,2008-09-09,0,5V4NlIfbLfR5c8U9330HY8,0,0.723,0.347,-9.694,1,0.0283,0.21,0.0122,0.124,0.166,109.972,179242,chamber pop,47,True,0IY6RqIVuJYYdANru7ujDH,This Is How We Walk On The Moon,José González
